Coll,Int,Wea,CRASH_NUM1,TrWay,PSL,Align,TCD,CF
Front-to-Front,Not an Intersection,Cloudy,2016_10015,Two-Way Undivided,40 MPH,Straight,No Controls,Going Straight
Front-to-Front,Not an Intersection,Cloudy,2016_10015,Two-Way Undivided,40 MPH,Straight,No Controls,Going Straight
Front-to-Front,Four-Way Intersection,Cloudy,2016_10033,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Turning
Sideswipe,Not an Intersection,Clear,2016_10041,Two-Way Undivided,45 MPH,Curve,No Controls,Negotiating a Curve
Front-to-Front,Not an Intersection,Cloudy,2016_10055,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
Angle,Not an Intersection,Clear,2016_10059,Driveway Access,No Statutory Limit,Driveway Access,Stop Sign,Turning
Angle,Four-Way Intersection,Clear,2016_10061,Two-Way Undivided,25 MPH,Straight,Traffic control signal,Turning
Angle,Four-Way Intersection,Clear,2016_10061,Two-Way Divided,45 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Clear,2016_10061,Two-Way Divided,45 MPH,Straight,Traffic control signal,Others
Front-to-Rear,Four-Way Intersection,Clear,2016_10063,Two-Way Divided,45 MPH,Straight,Traffic control signal,Others
Angle,Not an Intersection,Clear,2016_10117,Two-Way Undivided,45 MPH,Curve,No Controls,Negotiating a Curve
Angle,Not an Intersection,Clear,2016_10117,Two-Way Undivided,45 MPH,Curve,No Controls,Negotiating a Curve
Angle,Not an Intersection,Clear,2016_10117,Two-Way Undivided,45 MPH,Curve,No Controls,Negotiating a Curve
Angle,Four-Way Intersection,Rain,2016_10138,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Turning
Sideswipe,Not an Intersection,Clear,2016_10144,Two-Way Undivided,45 MPH,Curve,No Controls,Negotiating a Curve
Sideswipe,Not an Intersection,Clear,2016_10144,Two-Way Undivided,45 MPH,Curve,No Controls,Others
Front-to-Rear,Not an Intersection,Clear,2016_10145,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Clear,2016_10164,Two-Way Undivided,35 MPH,Straight,Stop Sign,Going Straight
Angle,T-Intersection,Clear,2016_10168,Two-Way Divided,45 MPH,Straight,Traffic control signal,Turning
Angle,T-Intersection,Clear,2016_10168,Two-Way Divided,45 MPH,Straight,Traffic control signal,Going Straight
Sideswipe,Not an Intersection,Clear,2016_10195,Two-Way Undivided,35 MPH,Curve,No Controls,Negotiating a Curve
Sideswipe,Not an Intersection,Clear,2016_10195,Two-Way Undivided,35 MPH,Curve,No Controls,Negotiating a Curve
Angle,Y-Intersection,Clear,2016_10199,Two-Way Undivided,30 MPH,Curve,No Controls,Negotiating a Curve
Front-to-Front,T-Intersection,Clear,2016_10203,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Angle,Not an Intersection,Clear,2016_10209,Driveway Access,No Statutory Limit,Driveway Access,No Controls,Going Straight
Front-to-Front,Not an Intersection,Clear,2016_10210,Two-Way Undivided,40 MPH,Straight,No Controls,Going Straight
Front-to-Front,Not an Intersection,Clear,2016_10211,Two-Way Undivided,40 MPH,Straight,No Controls,Turning
Angle,Four-Way Intersection,Clear,2016_10217,Two-Way Undivided,45 MPH,Straight,Stop Sign,Going Straight
Angle,Not an Intersection,Clear,2016_10221,Two-Way Undivided,40 MPH,Straight,No Controls,Turning
Angle,Not an Intersection,Clear,2016_10221,Two-Way Undivided,40 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Clear,2016_10246,Two-Way Undivided,40 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Clear,2016_10255,Two-Way Undivided,25 MPH,Straight,Stop Sign,Going Straight
Angle,Four-Way Intersection,Clear,2016_10255,Two-Way Undivided,25 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Cloudy,2016_10264,Two-Way Undivided,25 MPH,Straight,Traffic control signal,Turning
Angle,Four-Way Intersection,Clear,2016_10273,Two-Way Undivided,25 MPH,Straight,Stop Sign,Unknown
Front-to-Front,Not an Intersection,Clear,2016_10389,Two-Way Undivided,45 MPH,Curve,No Controls,Negotiating a Curve
Front-to-Rear,T-Intersection,Cloudy,2016_10403,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Front-to-Rear,T-Intersection,Clear,2016_10434,Two-Way Undivided,25 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Cloudy,2016_10459,Two-Way Undivided,35 MPH,Straight,Stop Sign,Going Straight
Angle,Four-Way Intersection,Clear,2016_10483,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Clear,2016_10483,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Turning
Angle,Four-Way Intersection,Clear,2016_10483,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Others
Angle,Four-Way Intersection,Clear,2016_10483,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Others
Front-to-Rear,Not an Intersection,Cloudy,2016_10486,Two-Way Divided,45 MPH,Straight,No Controls,Changing Lanes/Overtaking
Angle,Four-Way Intersection,Clear,2016_10499,Two-Way Undivided,45 MPH,Straight,Stop Sign,Going Straight
Front-to-Front,T-Intersection,Clear,2016_10515,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Front-to-Front,T-Intersection,Clear,2016_10515,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Front-to-Front,Not an Intersection,Clear,2016_10523,Two-Way Undivided,35 MPH,Curve,No Controls,Negotiating a Curve
Front-to-Front,Not an Intersection,Clear,2016_10533,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Cloudy,2016_10541,Two-Way Undivided,25 MPH,Straight,Stop Sign,Others
Front-to-Front,Four-Way Intersection,Clear,2016_10545,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Cloudy,2016_10548,Two-Way Undivided,45 MPH,Straight,Stop Sign,Going Straight
Front-to-Front,Not an Intersection,Clear,2016_10562,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Front-to-Front,Not an Intersection,Clear,2016_10563,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Clear,2016_10584,Two-Way Undivided,20 MPH,Straight,Stop Sign,Going Straight
Front-to-Front,Not an Intersection,Rain,2016_10586,Two-Way Undivided,35 MPH,Curve,No Controls,Negotiating a Curve
Angle,T-Intersection,Clear,2016_10616,Two-Way Undivided,45 MPH,Straight,Stop Sign,Turning
Front-to-Front,Not an Intersection,Clear,2016_10628,Two-Way Undivided,35 MPH,Curve,No Controls,Negotiating a Curve
Front-to-Front,Not an Intersection,Clear,2016_10636,Two-Way Undivided,45 MPH,Curve,No Controls,Negotiating a Curve
Angle,T-Intersection,Clear,2016_10646,Two-Way Undivided,45 MPH,Straight,No Controls,Accelerating/Decelerating
Angle,Four-Way Intersection,Clear,2016_10649,Two-Way Undivided,35 MPH,Straight,Stop Sign,Going Straight
Angle,Four-Way Intersection,Clear,2016_10684,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Turning
Front-to-Front,Not an Intersection,Clear,2016_10734,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Clear,2016_10751,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Clear,2016_10753,Two-Way Undivided,45 MPH,Straight,Stop Sign,Going Straight
Angle,Four-Way Intersection,Clear,2016_10753,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Clear,2016_10764,Two-Way Undivided,35 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Clear,2016_10764,Two-Way Undivided,35 MPH,Straight,Traffic control signal,Going Straight
Front-to-Front,Not an Intersection,Clear,2016_10773,Two-Way Undivided,40 MPH,Curve,No Controls,Negotiating a Curve
Angle,Four-Way Intersection,Clear,2016_10851,Two-Way Undivided,35 MPH,Straight,Stop Sign,Going Straight
Angle,Four-Way Intersection,Clear,2016_10851,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
Angle,Y-Intersection,Rain,2016_10854,Two-Way Undivided,35 MPH,Straight,Stop Sign,Going Straight
Angle,T-Intersection,Cloudy,2016_10890,Two-Way Undivided,35 MPH,Straight,Stop Sign,Turning
