CRASH_NUM,Coll,Int,Wea,TrWay,PSL,Align,TCD,CF
2016_10015,Front-to-Front,Not an Intersection,Cloudy,Two-Way Undivided,40 MPH,Straight,No Controls,Going Straight
2016_10015,Front-to-Front,Not an Intersection,Cloudy,Two-Way Undivided,40 MPH,Straight,No Controls,Going Straight
2016_10033,Front-to-Front,Four-Way Intersection,Cloudy,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Turning
2016_10041,Sideswipe,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Curve,No Controls,Negotiating a Curve
2016_10055,Front-to-Front,Not an Intersection,Cloudy,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
2016_10059,Angle,Not an Intersection,Clear,Driveway Access,No Statutory Limit,Driveway Access,Stop Sign,Turning
2016_10061,Angle,Four-Way Intersection,Clear,Two-Way Undivided,25 MPH,Straight,Traffic control signal,Turning
2016_10061,Angle,Four-Way Intersection,Clear,Two-Way Divided,45 MPH,Straight,Traffic control signal,Going Straight
2016_10061,Angle,Four-Way Intersection,Clear,Two-Way Divided,45 MPH,Straight,Traffic control signal,Others
2016_10063,Front-to-Rear,Four-Way Intersection,Clear,Two-Way Divided,45 MPH,Straight,Traffic control signal,Others
2016_10117,Angle,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Curve,No Controls,Negotiating a Curve
2016_10117,Angle,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Curve,No Controls,Negotiating a Curve
2016_10117,Angle,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Curve,No Controls,Negotiating a Curve
2016_10138,Angle,Four-Way Intersection,Rain,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Turning
2016_10144,Sideswipe,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Curve,No Controls,Negotiating a Curve
2016_10144,Sideswipe,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Curve,No Controls,Others
2016_10145,Front-to-Rear,Not an Intersection,Clear,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
2016_10164,Angle,Four-Way Intersection,Clear,Two-Way Undivided,35 MPH,Straight,Stop Sign,Going Straight
2016_10168,Angle,T-Intersection,Clear,Two-Way Divided,45 MPH,Straight,Traffic control signal,Turning
2016_10168,Angle,T-Intersection,Clear,Two-Way Divided,45 MPH,Straight,Traffic control signal,Going Straight
2016_10195,Sideswipe,Not an Intersection,Clear,Two-Way Undivided,35 MPH,Curve,No Controls,Negotiating a Curve
2016_10195,Sideswipe,Not an Intersection,Clear,Two-Way Undivided,35 MPH,Curve,No Controls,Negotiating a Curve
2016_10199,Angle,Y-Intersection,Clear,Two-Way Undivided,30 MPH,Curve,No Controls,Negotiating a Curve
2016_10203,Front-to-Front,T-Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2016_10209,Angle,Not an Intersection,Clear,Driveway Access,No Statutory Limit,Driveway Access,No Controls,Going Straight
2016_10210,Front-to-Front,Not an Intersection,Clear,Two-Way Undivided,40 MPH,Straight,No Controls,Going Straight
2016_10211,Front-to-Front,Not an Intersection,Clear,Two-Way Undivided,40 MPH,Straight,No Controls,Turning
2016_10217,Angle,Four-Way Intersection,Clear,Two-Way Undivided,45 MPH,Straight,Stop Sign,Going Straight
2016_10221,Angle,Not an Intersection,Clear,Two-Way Undivided,40 MPH,Straight,No Controls,Turning
2016_10221,Angle,Not an Intersection,Clear,Two-Way Undivided,40 MPH,Straight,No Controls,Going Straight
2016_10246,Angle,Four-Way Intersection,Clear,Two-Way Undivided,40 MPH,Straight,Traffic control signal,Going Straight
2016_10255,Angle,Four-Way Intersection,Clear,Two-Way Undivided,25 MPH,Straight,Stop Sign,Going Straight
2016_10255,Angle,Four-Way Intersection,Clear,Two-Way Undivided,25 MPH,Straight,No Controls,Going Straight
2016_10264,Angle,Four-Way Intersection,Cloudy,Two-Way Undivided,25 MPH,Straight,Traffic control signal,Turning
2016_10273,Angle,Four-Way Intersection,Clear,Two-Way Undivided,25 MPH,Straight,Stop Sign,Unknown
2016_10389,Front-to-Front,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Curve,No Controls,Negotiating a Curve
2016_10403,Front-to-Rear,T-Intersection,Cloudy,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2016_10434,Front-to-Rear,T-Intersection,Clear,Two-Way Undivided,25 MPH,Straight,No Controls,Going Straight
2016_10459,Angle,Four-Way Intersection,Cloudy,Two-Way Undivided,35 MPH,Straight,Stop Sign,Going Straight
2016_10483,Angle,Four-Way Intersection,Clear,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Going Straight
2016_10483,Angle,Four-Way Intersection,Clear,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Turning
2016_10483,Angle,Four-Way Intersection,Clear,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Others
2016_10483,Angle,Four-Way Intersection,Clear,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Others
2016_10486,Front-to-Rear,Not an Intersection,Cloudy,Two-Way Divided,45 MPH,Straight,No Controls,Changing Lanes/Overtaking
2016_10499,Angle,Four-Way Intersection,Clear,Two-Way Undivided,45 MPH,Straight,Stop Sign,Going Straight
2016_10515,Front-to-Front,T-Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2016_10515,Front-to-Front,T-Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2016_10523,Front-to-Front,Not an Intersection,Clear,Two-Way Undivided,35 MPH,Curve,No Controls,Negotiating a Curve
2016_10533,Front-to-Front,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2016_10541,Angle,Four-Way Intersection,Cloudy,Two-Way Undivided,25 MPH,Straight,Stop Sign,Others
2016_10545,Front-to-Front,Four-Way Intersection,Clear,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
2016_10548,Angle,Four-Way Intersection,Cloudy,Two-Way Undivided,45 MPH,Straight,Stop Sign,Going Straight
2016_10562,Front-to-Front,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2016_10563,Front-to-Front,Not an Intersection,Clear,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
2016_10584,Angle,Four-Way Intersection,Clear,Two-Way Undivided,20 MPH,Straight,Stop Sign,Going Straight
2016_10586,Front-to-Front,Not an Intersection,Rain,Two-Way Undivided,35 MPH,Curve,No Controls,Negotiating a Curve
